rank,freq,zipf
1154,7,1.29896
1155,7,1.29784
1156,7,1.29671
1157,7,1.29559
1158,7,1.29447
1159,7,1.29336
1160,7,1.29224
1161,7,1.29113
1162,7,1.29002
1163,7,1.28891
1164,7,1.2878
1165,7,1.2867
1166,7,1.28559
1167,7,1.28449
1168,7,1.28339
1169,7,1.28229
1170,7,1.2812
1171,7,1.2801
1172,7,1.27901
1173,7,1.27792
1174,7,1.27683
1175,7,1.27574
1176,7,1.27466
1177,7,1.27358
1178,7,1.2725
1179,7,1.27142
1180,7,1.27034
1181,7,1.26926
1182,7,1.26819
1183,7,1.26712
1184,7,1.26605
1185,7,1.26498
1186,7,1.26391
1187,7,1.26285
1188,7,1.26178
1189,7,1.26072
1190,7,1.25966
1191,7,1.25861
1192,7,1.25755
1193,7,1.2565
1194,7,1.25544
1195,7,1.25439
1196,7,1.25334
1197,7,1.2523
1198,7,1.25125
1199,7,1.25021
1200,7,1.24917
1201,7,1.24813
1202,7,1.24709
1203,7,1.24605
1204,7,1.24502
1205,7,1.24398
1206,7,1.24295
1207,7,1.24192
1208,7,1.24089
1209,7,1.23987
1210,7,1.23884
1211,7,1.23782
1212,7,1.2368
1213,7,1.23578
1214,7,1.23476
1215,7,1.23374
1216,7,1.23273
1217,7,1.23172
1218,7,1.23071
1219,7,1.2297
1220,7,1.22869
1221,7,1.22768
1222,7,1.22668
1223,7,1.22567
1224,7,1.22467
1225,7,1.22367
1226,7,1.22268
1227,7,1.22168
1228,7,1.22068
1229,7,1.21969
1230,7,1.2187
1231,7,1.21771
1232,7,1.21672
1233,7,1.21573
1234,7,1.21475
1235,7,1.21377
1236,7,1.21278
1237,7,1.2118
1238,7,1.21082
1239,7,1.20985
1240,7,1.20887
1241,7,1.2079
1242,7,1.20692
1243,7,1.20595
1244,7,1.20498
1245,7,1.20402
1246,7,1.20305
1247,7,1.20209
1248,7,1.20112
1249,7,1.20016
1250,7,1.1992
1251,7,1.19824
1252,7,1.19728
1253,7,1.19633
1254,7,1.19537
