rank,freq,zipf
1389,554,154.142
1390,549,154.031
1391,546,153.92
1392,545,153.81
1393,544,153.699
1394,542,153.589
1395,542,153.479
1396,539,153.369
1397,539,153.259
1398,539,153.149
1399,532,153.04
1400,529,152.931
1401,526,152.822
1402,520,152.713
1403,518,152.604
1404,517,152.495
1405,514,152.386
1406,513,152.278
1407,512,152.17
1408,511,152.062
1409,510,151.954
1410,504,151.846
1411,503,151.738
1412,503,151.631
1413,499,151.524
1414,495,151.417
1415,490,151.31
1416,490,151.203
1417,485,151.096
1418,482,150.989
1419,472,150.883
1420,470,150.777
1421,468,150.671
1422,467,150.565
1423,466,150.459
1424,465,150.353
1425,456,150.248
1426,456,150.142
1427,448,150.037
1428,447,149.932
1429,446,149.827
1430,444,149.722
1431,441,149.618
1432,437,149.513
1433,437,149.409
1434,435,149.305
1435,435,149.201
1436,433,149.097
1437,430,148.993
1438,426,148.889
1439,424,148.786
1440,423,148.683
1441,423,148.579
1442,419,148.476
1443,419,148.374
1444,418,148.271
1445,415,148.168
1446,414,148.066
1447,412,147.963
1448,411,147.861
1449,411,147.759
1450,410,147.657
1451,409,147.555
1452,409,147.454
1453,408,147.352
1454,406,147.251
1455,402,147.15
1456,400,147.049
1457,396,146.948
1458,396,146.847
1459,396,146.746
1460,392,146.646
1461,392,146.546
1462,389,146.445
1463,387,146.345
1464,385,146.245
1465,380,146.145
1466,379,146.046
1467,378,145.946
1468,375,145.847
1469,374,145.747
1470,372,145.648
1471,372,145.549
1472,371,145.45
1473,368,145.352
1474,367,145.253
1475,366,145.155
1476,365,145.056
1477,365,144.958
1478,364,144.86
1479,363,144.762
1480,363,144.664
1481,362,144.567
1482,362,144.469
1483,360,144.372
1484,359,144.274
1485,357,144.177
1486,357,144.08
1487,355,143.983
1488,355,143.886
1489,354,143.79
1490,352,143.693
1491,352,143.597
1492,352,143.501
